county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3
RICHMOND,768379,Store,A,CRATE & GO INC,CRATE & GO,520,FOREST AVE,STATEN ISLAND,NY,10310,"{'type': 'Point', 'coordinates': [-74.10763, 40.63034]}",585,,,
BRONX,768373,Store,A,2490 GROCERY HOUSEWARE CORP,2490 GROCERY HOUSEWARE,2490,WILLIAMSBRIDGE RD,BRONX,NY,10469,"{'type': 'Point', 'coordinates': [-73.85786, 40.86268]}",307,,,
QUEENS,768372,Store,A,AJ&E 99UP SUPERMARKET INC,AJ&E 99UP SUPERMARKET,47-06,BELL BLVD,BAYSIDE,NY,11361,"{'type': 'Point', 'coordinates': [-73.7676, 40.75673]}",196,,,
SUFFOLK,768319,Store,A,HAPPY AFRICAN MARKET LLC,HAPPY AFRICAN MARKET,16,LOWELL AVENUE,ISLIP TERRACE,NY,11752,"{'type': 'Point', 'coordinates': [-73.17418, 40.76434]}",1019,,,
ALBANY,768238,Store,A,TRADER JOES EAST INC,TRADER JOES #579,388,FEURA BUSH RD SUITE 200,GLENMONT,NY,12077,"{'type': 'Point', 'coordinates': [-73.79517, 42.60073]}",837,,,
OSWEGO,768208,Store,AC,FRUIT VALLEY ORCHARD AND FARM LLC,FRUIT VALLEY ORCHARD,507,BUNKER HILL,OSWEGO,NY,13126,"{'type': 'Point', 'coordinates': [-76.55412, 43.42343]}",239,500,,
ERIE,768204,Store,A,BURLEY BROTHERS COUNTRY BUTCHERY LLC,BURLEY BROTHERS COUNTRY BUTCHERY,3218,TRANSIT ROAD####,BUFFALO,NY,14224,"{'type': 'Point', 'coordinates': [-78.69695, 42.85508]}",276,,,
ONONDAGA,768184,Store,AC,ON THE WAY 2 INC,ON THE WAY 2,711,S MAIN ST ####,SYRACUSE,NY,13212,"{'type': 'Point', 'coordinates': [-76.14117, 43.1233]}",703,,,
RICHMOND,768136,Store,A,TRADER JOES EAST INC,TRADER JOES #580,6400,AMBOY RD,STATEN ISLAND,NY,10309,"{'type': 'Point', 'coordinates': [-74.21555, 40.52207]}",585,,,
WESTCHESTER,768123,Store,A,SIAR USA LLC,ALBANIAN CONVENIENCE 10/1/2025,4,TUCKAHOE RD ##,YONKERS,NY,10710,"{'type': 'Point', 'coordinates': [-73.87069, 40.95586]}",948,,,
RICHMOND,768120,Store,AC,NEIGHBORHOOD CHANGE YOUTH ORG INC,MOTHERR NATURE'S GARDEN,372,BROADWAY,STATEN ISLAND,NY,10310,"{'type': 'Point', 'coordinates': [-74.11671, 40.63193]}",585,600,,
OTSEGO,768104,Store,A,NELSON SHARLA,FARMSTEAD MARKET,3588,STATE HIGHWAY 28 ####,MILFORD,NY,13807,"{'type': 'Point', 'coordinates': [-74.94895, 42.57745]}",917,,,
ONTARIO,768103,Store,A,HOMETOWN WINE COMPANY INC,HOMETOWN WINE COMPANY,203,N MAIN STREET,NAPLES,NY,14512,"{'type': 'Point', 'coordinates': [-77.3947, 42.6265]}",804,,,
WARREN,768091,Store,AC,QUEENSBURY MART INC,SAMS DELI,474,AVIATION ROAD,QUEENSBURY,NY,12804,"{'type': 'Point', 'coordinates': [-73.68616, 43.32964]}",818,,,
ORLEANS,768074,Store,ABC,LYN OAKEN U PICK LLC,LYN OAKEN U PICK,10609,RIDGE RD,MEDINA,NY,14103,"{'type': 'Point', 'coordinates': [-78.43622, 43.26217]}",500,900,,
SCHUYLER,768063,Store,A,WICKHAMS TANGO OAKS FARM LLC,WICKHAMS TANGO OAKS FARM,5557,ROUTE 414 ####,HECTOR,NY,14841,"{'type': 'Point', 'coordinates': [-76.87272, 42.50096]}",645,,,
NEW YORK,768050,Store,AC,BAMM WEST 16TH CORP,BIG APPLE MARKET,431,WEST 16TH STREET,NEW YORK,NY,10011,"{'type': 'Point', 'coordinates': [-74.00575, 40.74284]}",749,1400,,
RICHMOND,768031,Store,A,12 TORRES INC,EL CENTRO MINI MARKET,73,VICTORY BLVD,STATEN ISLAND,NY,10301,"{'type': 'Point', 'coordinates': [-74.07858, 40.63834]}",585,,,
KINGS,768025,Store,A,FRESH MARKET GOGO INC,FRESH MARKET GOGO,1977,65TH STREET,BROOKLYN,NY,11204,"{'type': 'Point', 'coordinates': [-73.98617, 40.61672]}",894,,,
ERIE,768016,Store,A,KEN-TON QUICK STOP INC,KEN-TON QUICK STOP,3670,DELAWARE AVE,BUFFALO,NY,14217,"{'type': 'Point', 'coordinates': [-78.87279, 42.98407]}",278,,,
KINGS,767988,Store,A,CARNICERIA GUATEMALTECA CORP,CARNICERIA GUATEMALTECA,5406,5TH AVE ####,BROOKLYN,NY,11220,"{'type': 'Point', 'coordinates': [-74.01283, 40.64268]}",894,,,
ERIE,767963,Store,AC,SOE SAN LLC,GOLDEN BURMA ASIAN FOODS,139,GRANT ST,BUFFALO,NY,14213,"{'type': 'Point', 'coordinates': [-78.89068, 42.91787]}",300,900,,
WESTCHESTER,767950,Store,A,NEW YORK PRESBYTERIAN HOSPITAL,NEW YORK PRESBYTERIAN HOSPITAL,1111,WESTCHESTERE AVE,WHITE PLAINS,NY,10605,"{'type': 'Point', 'coordinates': [-73.72782, 41.01582]}",949,,,
QUEENS,767927,Store,AC,TASTY BITE DELI & GRILL 1 CORP,TASTY BITE DELI & GRILL,74-22,JAMAICA AVE ####,WOODHAVEN,NY,11421,"{'type': 'Point', 'coordinates': [-73.86721, 40.69132]}",196,1000,,
NEW YORK,767911,Store,AC,USA GOURMET GROCERY CORP,USA GOURMET GROCERY,71,LEXINGTON AVE,NEW YORK,NY,10010,"{'type': 'Point', 'coordinates': [-73.98356, 40.74113]}",749,,,
ROCKLAND,767886,Store,A,QUICK STOP STORE LLC,ROCKLAND QUICK STOP,136,N MAIN ST ####,SPRING VALLEY,NY,10977,"{'type': 'Point', 'coordinates': [-74.04405, 41.11764]}",529,,,
ONONDAGA,767884,Store,AC,CUSE FOOD MART INC,CUSE FOOD,1710,GRANT BLVD,SYRACUSE,NY,13208,"{'type': 'Point', 'coordinates': [-76.13972, 43.07226]}",687,,,
BRONX,767877,Store,AC,BANGLA HALAL FOOD MARKET INC,BANGLA HALAL FOOD MARKET,1002,CASTLE HILL AVE ##,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.85008, 40.8278]}",307,2200,,
MONROE,767867,Store,A,A-1 FASHION LTD,A-1 FASHION,892,NORTH CLINTON AVE ####,ROCHESTER,NY,14621,"{'type': 'Point', 'coordinates': [-77.61299, 43.17522]}",537,,,
MONROE,767860,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #31759,610,N GREECE RD,HILTON,NY,14468,"{'type': 'Point', 'coordinates': [-77.73227, 43.25499]}",548,,,
NEW YORK,767850,Store,AC,HEAVENLY FINEST DELI INC,HEAVENLY FINEST DELI,81,RIVINGTON ST,NEW YORK,NY,10002,"{'type': 'Point', 'coordinates': [-73.98933, 40.72038]}",749,900,,
NEW YORK,767837,Store,AC,SONS KITCHEN LLC,SONS KITCHEN,825,2ND AVE,NEW YORK,NY,10017,"{'type': 'Point', 'coordinates': [-73.97121, 40.75123]}",749,,,
NEW YORK,767824,Store,AC,DELI 1274 CORP,DELI 1274,1274,1ST AVE,NEW YORK,NY,10065,"{'type': 'Point', 'coordinates': [-73.95764, 40.76557]}",749,,,
QUEENS,767812,Store,A,ELITE RX MANAGEMENT LLC,JAC PHARMACY & SURGICAL SUPPLIES,93-15,ROOSEVELT AVE,JACKSON HEIGHTS,NY,11372,"{'type': 'Point', 'coordinates': [-73.87306, 40.74878]}",196,,,
SUFFOLK,767811,Store,A,GILL DESI BAZAAR INC,GILL DESI BAZAAR,1310,MIDDLE COUNTRY RD UNIT 10 ##,SELDEN,NY,11784,"{'type': 'Point', 'coordinates': [-73.05781, 40.86151]}",1022,,,
QUEENS,767810,Store,A,VIP PHARMA INC,VIP PHARMACY,100-05,ROOSEVELT AVE,CORONA,NY,11368,"{'type': 'Point', 'coordinates': [-73.86519, 40.74962]}",196,,,
QUEENS,767809,Store,A,MARIO MINI MARKET INC,MARIO MINI MARKET,12214,18TH AVE,COLLEGE POINT,NY,11356,"{'type': 'Point', 'coordinates': [-73.84521, 40.78322]}",196,,GROUND FLOOR,
SARATOGA,767805,Store,A,CLEAR CHOICE BEEF LLC,CLEAR CHOICE BEEF,800,ROUTE 32N,SCHUYLERVILLE,NY,12871,"{'type': 'Point', 'coordinates': [-73.62275, 43.14066]}",997,,,
WAYNE,767799,Store,A,MARTINEZ MINI MARKET LLC,MARTINEZ MINI MARKET,8430,RIDGE RD STE B,SODUS,NY,14551,"{'type': 'Point', 'coordinates': [-76.98266, 43.21138]}",628,,,
KINGS,767798,Store,AC,COMPILEX CORP,EATABLES,443,KINGS HIGHWAY,BROOKLYN,NY,11223,"{'type': 'Point', 'coordinates': [-73.97359, 40.60433]}",894,2000,,
BRONX,767797,Store,AC,A&Z GOURMET DELI CORP,A&Z GOURMET DELI,772,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88739, 40.81603]}",307,,,
YATES,767795,Store,AC,COUNTRY SIDE GROCERY,COUNTRY SIDE GROCERY,2500,HAZARD RD,PENN YAN,NY,14527,"{'type': 'Point', 'coordinates': [-76.95947, 42.64221]}",89,,,
KINGS,767781,Store,AC,478 DELI & GRILL CORP,24 HR KINGS EXPRESS DELI & GROCERY,478,KINGS HWY,BROOKLYN,NY,11223,"{'type': 'Point', 'coordinates': [-73.97204, 40.6042]}",894,,,
KINGS,767780,Store,AC,MYRTLE AVE FUMEI MARKET INC,MYRTLE AVE FUMEI MARKET,1470,MYRTLE AVE,BROOKLYN,NY,11237,"{'type': 'Point', 'coordinates': [-73.9158, 40.69906]}",894,,,
WESTCHESTER,767770,Store,AC,LABILLA GOURMET DELI INC,LABILLA GOURMET DELI,6,YOUNG AVENUE ####,YONKERS,NY,10710,"{'type': 'Point', 'coordinates': [-73.83028, 40.98183]}",948,1200,,
ONEIDA,767764,Store,AC,315 DARI DELI INC,315 DARI DELI,1317,NOYES ST,UTICA,NY,13502,"{'type': 'Point', 'coordinates': [-75.25712, 43.10069]}",984,2000,,
RICHMOND,767740,Store,AC,STAR FAMOUS CONVENIENCE STORE INC,STAR FAMOUS CONVENIENCE STORE,416,BROADWAY,STATEN ISLAND,NY,10310,"{'type': 'Point', 'coordinates': [-74.11654, 40.63092]}",585,1500,,
QUEENS,767735,Store,AC,RAM 1 DELI CORP,RAM 1 DELI,120-22,101ST AVE,SOUTH RICHMOND HILL,NY,11419,"{'type': 'Point', 'coordinates': [-73.82404, 40.6905]}",196,800,,
WARREN,767733,Store,AC,MUSKAAN 234 INC,MUSKAAN 234,234,QUAKER ROAD,QUEENSBURY,NY,12804,"{'type': 'Point', 'coordinates': [-73.65231, 43.3322]}",818,,,
SUFFOLK,767732,Store,AC,MI DELI LLC,MI DELI,1113,SUFFOLK AVENUE,BRENTWOOD,NY,11717,"{'type': 'Point', 'coordinates': [-73.22804, 40.78532]}",1019,,,
BROOME,767714,Store,A,MONTROSE PRODUCE INC,RUSSELL FARMS,323,SYCAMORE ST ####,VESTAL,NY,13850,"{'type': 'Point', 'coordinates': [-76.00678, 42.0999]}",937,,,
SUFFOLK,767712,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #06147,737,W MONTAUK HWY,WEST BABYLON,NY,11704,"{'type': 'Point', 'coordinates': [-73.34921, 40.68496]}",1023,,,
NASSAU,767711,Store,A,DOLLAR TREE STORES INC,DOLLAR TREE #10686,2784,SUNRISE HWY,BELLMORE,NY,11710,"{'type': 'Point', 'coordinates': [-73.52409, 40.66893]}",62,,,
KINGS,767710,Store,AC,EAT IN DELI GOURMET CORP,EAT IN DELI GOURMET,1223,SURF AVE,BROOKLYN,NY,11224,"{'type': 'Point', 'coordinates': [-73.98047, 40.57558]}",894,2000,,
NIAGARA,767696,Store,AC,RAVENS CHOCOLATE LLC,RAVENS CHOCOLATE,6505,RIDGE ROAD,LOCKPORT,NY,14094,"{'type': 'Point', 'coordinates': [-78.67638, 43.22468]}",161,,,
KINGS,767692,Store,AC,A TO Z DELI GROCERY I CORP,A TO Z DELI GROCERY I,2301,STILLWELL AVE,BROOKLYN,NY,11223,"{'type': 'Point', 'coordinates': [-73.98385, 40.59103]}",894,2500,,
NASSAU,767683,Store,A,HARTS FUEL & CONVENIENCE CORP,HARTS FUEL & CONVENIENCE,1,BARTER LANE,HICKSVILLE,NY,11801,"{'type': 'Point', 'coordinates': [-73.53411, 40.74515]}",59,,,
SARATOGA,767673,Store,AC,M&S PETRO INC,M&S PETRO,202,NORTHLINE RD ####,BALLSTON SPA,NY,12020,"{'type': 'Point', 'coordinates': [-73.83988, 43.02293]}",999,5000,,
RICHMOND,767668,Store,AC,YALLA I MARKET LLC,YALLA I MARKET,3579,VICTORY BLVD,STATEN ISLAND,NY,10314,"{'type': 'Point', 'coordinates': [-74.17699, 40.60134]}",585,2500,,
SUFFOLK,767664,Store,AC,366 METRO MART INC,366 METRO MART,366,MIDDLE COUNTRY RD,CORAM,NY,11727,"{'type': 'Point', 'coordinates': [-72.99996, 40.86956]}",1022,,,
CATTARAUGUS,767661,Store,A,UNITED REFINING CO OF PA INC,KWIK FILL M0012,66,S MAIN ST,FRANKLINVILLE,NY,14737,"{'type': 'Point', 'coordinates': [-78.46009, 42.33091]}",362,,,
KINGS,767655,Store,A,CATONRX PHARMACY INC,CANTONRX PHARMACY,815,FLATBUSH AVENUE ####,BROOKLYN,NY,11226,"{'type': 'Point', 'coordinates': [-73.95925, 40.6526]}",894,,,
ALBANY,767653,Store,A,VINGILIO AMANAL,VIRGILIOS EXPRESS STOP,1220,WASHINGTON AVE,ALBANY,NY,12240,"{'type': 'Point', 'coordinates': [-73.80589, 42.68081]}",814,,BUILDING 12,
ESSEX,767651,Store,A,BAK D,BAK D,43,MONTCALM ST,TICONDEROGA,NY,12883,"{'type': 'Point', 'coordinates': [-73.43085, 43.8483]}",420,,,
,767621,Store,A,1800 FLOWERS.COM INC,1800-FLOWERS SYOSSET,397,JERICHO TPKE ####,SYOSSET,NY,11591,"{'type': 'Point', 'coordinates': [-73.50143, 40.8105]}",59,,,
ALBANY,767620,Store,A,MARCO GALLO,GALLOS GROCERY,1220,WASHINGTON AVE ####,ALBANY,NY,12207,"{'type': 'Point', 'coordinates': [-73.81584, 42.68379]}",814,,,
NEW YORK,767619,Store,A,LST AMSTERDAM LLC,LIL SWEET TREAT,416,AMSTERDAM AVE ####,NEW YORK,NY,10024,"{'type': 'Point', 'coordinates': [-73.9779, 40.78373]}",749,,,
SUFFOLK,767615,Store,AC,DAVIS PARK HARBOR STORE EVEN CORP,DAVIS PARK HARBOR STORE,,BAY & MAIN WALKS,PATCHOGUE,NY,11772,"{'type': 'Point', 'coordinates': [-73.01021, 40.76241]}",1022,4000,,
QUEENS,767612,Store,AC,SALOME DELI GROCERY CORP,SALOME DELI GROCERY,107-52,VAN WYCK EXPWY,SOUTH RICHMOND HILL,NY,11419,"{'type': 'Point', 'coordinates': [-73.80827, 40.68704]}",196,1000,,
BRONX,767608,Store,A,1892A DELI GROCERY CORP,1892A DELI GROCERY,1892,ARCHER STREET,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.86307, 40.83791]}",307,,,
SUFFOLK,767603,Store,AC,TAMARA CARIBBEAN KITCHEN INC,TAMARA KITCHEN GROCERY,2080,RT 112 ####,MEDFORD,NY,11763,"{'type': 'Point', 'coordinates': [-73.00247, 40.81013]}",1022,20001,,
PUTNAM,767593,Store,AC,ON THE WAY MART INC,ON THE WAY MART,182,FAIRFIELD DRIVE,BREWSTER,NY,10509,"{'type': 'Point', 'coordinates': [-73.54064, 41.45572]}",101,1200,,
NEW YORK,767591,Store,AC,ALLISON GROCERS ONE INC,EDEN GOURMET MARKETPLACE,275,3RD AVE,NEW YORK,NY,10010,"{'type': 'Point', 'coordinates': [-73.98375, 40.738]}",749,11000,,
ORANGE,767589,Store,AC,NEWBURGH D LLC,FRESHTOWN,59,N PLANK RD,NEWBURGH,NY,12550,"{'type': 'Point', 'coordinates': [-74.03152, 41.52378]}",890,23000,,
SULLIVAN,767588,Store,AC,JEFFERSONVILLE K FOOD LLC,PECKS MARKET,4897,NY 52,JEFFERSONVILLE,NY,12748,"{'type': 'Point', 'coordinates': [-74.93579, 41.7793]}",663,,,
KINGS,767587,Store,AC,5817 MEAT & PRODUCE CORP,C TOWN FRESH,5817,5TH AVENUE,BROOKLYN,NY,11220,"{'type': 'Point', 'coordinates': [-74.0153, 40.64031]}",894,6000,,
SULLIVAN,767586,Store,AC,ELDRED K FOOD LLC,PECKS MARKET,9,PROCTOR RD,ELDRED,NY,12732,"{'type': 'Point', 'coordinates': [-74.88313, 41.52638]}",656,,,
KINGS,767583,Store,AC,PITKIN DELI & BREW INC,PITKIN DELI AND BREW,1655,PITKIN AVE,BROOKLYN,NY,11212,"{'type': 'Point', 'coordinates': [-73.91213, 40.66949]}",894,800,,
ONONDAGA,767568,Store,AC,SYRACUSE PIZZA AND DELI INC,SYRACUSE PIZZA AND DELI,788-90,BUTTERNUT ST,SYRACUSE,NY,13208,"{'type': 'Point', 'coordinates': [-76.14501, 43.06156]}",687,,,
KINGS,767567,Store,AC,LABONE GOURMET DELI INC,GOURMET DELI,488,JEFFERSON AVE ##,BROOKLYN,NY,11221,"{'type': 'Point', 'coordinates': [-73.93851, 40.6846]}",894,,,
BROOME,767565,Store,AC,3 BROS CANDY CO LLC,3 BROS CANDY CO,1900,VESTAL PARKWAY WEST###,VESTAL,NY,13850,"{'type': 'Point', 'coordinates': [-76.08315, 42.07579]}",937,,,
MADISON,767559,Store,AC,MAMAS COUNTRY KITCHEN LLC,MAMAS COUNTRY KITCHEN,100,EATON ST ####,MORRISVILLE,NY,13408,"{'type': 'Point', 'coordinates': [-75.64491, 42.89345]}",141,800,,
ERIE,767558,Store,A,SPEED PLUS INC,SPEED PLUS,1531,E DELAVAN AVE,BUFFALO,NY,14215,"{'type': 'Point', 'coordinates': [-78.8, 42.92278]}",300,1500,,
KINGS,767548,Store,AC,WISE DELI & GRILL1 CORP,WISE DELI & GRILL1,821,FRANKLIN AVE,BROOKLYN,NY,11225,"{'type': 'Point', 'coordinates': [-73.95815, 40.6702]}",894,,,
KINGS,767541,Store,AC,JEMNIC FAST FOOD AND GYRO INC,JEMNIC FASTFOOD & GYRO,142,GRAHAM AVE ##,BROOKLYN,NY,11206,"{'type': 'Point', 'coordinates': [-73.94305, 40.70635]}",894,1000,,
BRONX,767536,Store,A,MANDELA DELI MART CORP,MANDELA DELI MART,3660,WHITE PLAINS RD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86443, 40.88066]}",307,,,
DELAWARE,767520,Store,AC,EAST BRANCH FARMS,SAN MUL,1109,MAIN STREET ##,FLEISCHMANNS,NY,12430,"{'type': 'Point', 'coordinates': [-74.52721, 42.15644]}",560,,,
ONONDAGA,767519,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #31588,1819,W GENESEE ST,SYRACUSE,NY,13204,"{'type': 'Point', 'coordinates': [-76.1927, 43.0502]}",687,,,
SUFFOLK,767516,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #31505,3723,ROUTE 112,CORAM,NY,11727,"{'type': 'Point', 'coordinates': [-72.99895, 40.86769]}",1022,,,
MONTGOMERY,767515,Store,A,MEADOW VIEW DINER LLC,MEADOW VIEW DINER AND COUNTRY STORE,1957,STATE HWY 162,SPRAKERS,NY,12166,"{'type': 'Point', 'coordinates': [-74.39945, 42.8032]}",494,,,
ONTARIO,767514,Store,A,REID STORES INC,CROSBYS,510,E MAIN ST,PALMYRA,NY,14522,"{'type': 'Point', 'coordinates': [-77.22545, 43.06335]}",631,,,
MONTGOMERY,767513,Store,AC,PERFECT PLATES LLC,PERFECT PLATES,55,MONTGOMERY ST ##,CANAJOHARIE,NY,13317,"{'type': 'Point', 'coordinates': [-74.56894, 42.90421]}",495,,,
NASSAU,767512,Store,ABH,CURCIO BAKERY CAFÉ INC,CURCIO BAKERY CAFE,10,CEDAR SWAMP RD ##,GLEN COVE,NY,11542,"{'type': 'Point', 'coordinates': [-73.62041, 40.85732]}",63,4000,,
NASSAU,767508,Store,AC,SHRI GURU TEGH BAHADUR INC,7 ELEVEN STORE #33268B,160,SUNNYSIDE BLVD ##,PLAINVIEW,NY,11803,"{'type': 'Point', 'coordinates': [-73.46898, 40.7948]}",59,3300,,
QUEENS,767494,Store,AC,LA BODEGA 33 CORP,LA BODEGA 33,33-43,108TH ST,CORONA,NY,11368,"{'type': 'Point', 'coordinates': [-73.86076, 40.75651]}",196,,,
NEW YORK,767478,Store,AC,TEN ICHI MART VILLAGE INC,TEN ICHI MART VILLAGE,239,BLEECKER STREET,NEW YORK,NY,10014,"{'type': 'Point', 'coordinates': [-74.00266, 40.7307]}",749,1600,,
QUEENS,767477,Store,AC,MERRICK KING DELI & GRILL 1 CORP,MERRICK KING DELI & GRILL 1,229-21,MERRICK BLVD,LAURELTON,NY,11413,"{'type': 'Point', 'coordinates': [-73.74073, 40.67626]}",196,1000,,
KINGS,767470,Store,AC,ELEGANTE DELI & GRILL INC,ELEGANTE DELI & GRILL,5304,4TH AVE,BROOKLYN,NY,11220,"{'type': 'Point', 'coordinates': [-74.01452, 40.6447]}",894,1800,,
MONROE,767463,Store,A,IZZYS EXPRESS MART LLC,IZZYS EXPRESS MART,527,EAST MAIN ST,ROCHESTER,NY,14604,"{'type': 'Point', 'coordinates': [-77.59842, 43.15893]}",537,,,
NEW YORK,767435,Store,AC,LUS LICENSING LLC,LIDL #1590,408,GRAND ST,NEW YORK,NY,10002,"{'type': 'Point', 'coordinates': [-73.9864, 40.71586]}",749,23000,,
NASSAU,767430,Store,AC,HILLSIDE CONVENIENCE & SMOKE INC,HILLSIDE CONVENIENCE & SMOKE,15-94,HILLSIDE AVE,NEW HYDE PARK,NY,11040,"{'type': 'Point', 'coordinates': [-73.7002, 40.73928]}",60,600,,
MONROE,767423,Store,AC,BONES AND BARLEY BREWING COMPANY,BONES AND BARLEY BREWING,377,S UNION ST,SPENCERPORT,NY,14559,"{'type': 'Point', 'coordinates': [-77.80483, 43.18565]}",543,,,
QUEENS,767420,Store,AC,WOODHAVEN DELI CORP,WOODHAVEN DELI,89-55,METROPOLITAN AVE,REGO PARK,NY,11374,"{'type': 'Point', 'coordinates': [-73.86012, 40.7119]}",196,,,
KINGS,767412,Store,AC,NISSAN OF ATLANTIC ENTERPRISES INC,NISSAN OF ATLANTIC ENTERPRISES,1802,ATLANTIC AVE ####,BROOKLYN,NY,11233,"{'type': 'Point', 'coordinates': [-73.93002, 40.67731]}",894,,`,
LIVINGSTON,767408,Store,A,YORK COMMON GROUNDS LLC,YORK COMMON GROUNDS,2703,MAIN ST ####,YORK,NY,14592,"{'type': 'Point', 'coordinates': [-77.8856, 42.87099]}",732,,,
FRANKLIN,767406,Store,A,PAUL SMITHS COLLEGE OF ARTS & SCIENCE,PAUL SMITHS COLLEGE,7777,NY ROUTE 30,PAUL SMITHS,NY,12970,"{'type': 'Point', 'coordinates': [-74.25215, 44.43412]}",191,1000,,
SUFFOLK,767404,Store,AC,EDV ENTERPRISE INC,7 ELEVEN STORE #11231D,1541,BRENTWOOD RD,BAY SHORE,NY,11706,"{'type': 'Point', 'coordinates': [-73.24448, 40.75651]}",1019,2200,,
KINGS,767402,Store,A,TWINTREE MART INC,DOLLAR UP,712,MANHATTAN AVE,BROOKLYN,NY,11222,"{'type': 'Point', 'coordinates': [-73.95194, 40.7258]}",894,2100,,
COLUMBIA,767401,Store,A,CHEFFO FARMS LLC,LIBERTY FARMS STORE,176,BARTEL ROAD ####,GHENT,NY,12075,"{'type': 'Point', 'coordinates': [-73.66727, 42.30652]}",518,,,
DUTCHESS,767400,Store,A,GENERAL COCHRAN FARM,GENERALS GATHER,3815,RT44 ####,MILLBROOK,NY,12545,,,,,
ORANGE,767397,Store,A,MERES ASHLEY,RUSTIC RIDGE FARM,405,GOODWILL RD,MONTGOMERY,NY,12549,"{'type': 'Point', 'coordinates': [-74.22312, 41.51725]}",893,900,,
RICHMOND,767392,Store,AC,KING FISH HOUSE INC,KING FISH HOUSE,778,MANOR RD ####,STATEN ISLAND,NY,10314,"{'type': 'Point', 'coordinates': [-74.12128, 40.60801]}",585,300,,
NEW YORK,767388,Store,AC,FOODTOWER GOURMET DELI CORP,FOODTOWER GOURMET DELI,57,MARKET STREET,NEW YORK,NY,10002,"{'type': 'Point', 'coordinates': [-73.99425, 40.7115]}",749,2000,,
ERIE,767386,Store,AC,ALJANDUL INC,ALJANDUL,540,NIAGRA FALLS BLVD,BUFFALO,NY,14226,"{'type': 'Point', 'coordinates': [-78.82359, 42.96869]}",278,2800,,
ORANGE,767385,Store,AC,TWO FLIPS PINBALL & GIFTS LLC,TWO FLIPS PINBALL & GIFTS,73,WINDERMERE AVE ####,GREENWOOD LAKE,NY,10925,"{'type': 'Point', 'coordinates': [-74.29373, 41.2231]}",885,,,
RICHMOND,767372,Store,AC,900 DELI & GRILL CORP,900 DELI & GRILL,900,HYLAN BLVD.STE 2,STATEN ISLAND,NY,10305,"{'type': 'Point', 'coordinates': [-74.07279, 40.5982]}",585,1200,,
ONEIDA,767363,Store,AC,FOODLAND OF UTICA INC,FOODLAND OF UTICA,912,COURT ST,UTICA,NY,13502,"{'type': 'Point', 'coordinates': [-75.24657, 43.10351]}",984,6000,,
KINGS,767360,Store,AC,HER WAY DELI INC,HER WAY DELI,461,LINCOLN PLACE,BROOKLYN,NY,11238,"{'type': 'Point', 'coordinates': [-73.96084, 40.67219]}",894,1200,,
KINGS,767359,Store,A,SESAME TRADING INC,SESAME TRADING,5202,7TH AVE,BROOKLYN,NY,11220,"{'type': 'Point', 'coordinates': [-74.00716, 40.64123]}",894,,,
CHAUTAUQUA,767358,Store,A,DAL MINI MART INC,DAL MINI MART,81,E 5TH,DUNKIRK,NY,14048,"{'type': 'Point', 'coordinates': [-79.32801, 42.48225]}",217,,,
SUFFOLK,767357,Store,AC,NEW LIGHT ENTERPRISE INC,7 ELEVEN STORE #42228A,793,SUFFOLK AVE ##,BRENTWOOD,NY,11717,"{'type': 'Point', 'coordinates': [-73.24577, 40.78151]}",1019,2500,,
KINGS,767353,Store,AC,1404 MYRTLE DELI INC,1404 MYRTLE DELI,1404,MYRTLE AVE,BROOKLYN,NY,11237,"{'type': 'Point', 'coordinates': [-73.9193, 40.6987]}",894,,,
KINGS,767350,Store,AC,RED HOOK FISH & MARKET INC,RED HOOK FISH & MARKET,1813,CHURCH AVE,BROOKLYN,NY,11226,"{'type': 'Point', 'coordinates': [-73.96264, 40.64962]}",894,1700,,
KINGS,767348,Store,AC,METRO DISCOUNT & CONVENIENCE INC,METRO DISCOUNT & CONVENIENCE,685,METROPOLITAN AVE,BROOKLYN,NY,11211,"{'type': 'Point', 'coordinates': [-73.94621, 40.71434]}",894,,,
KINGS,767346,Store,AC,BUSHWICK DELI BITE CORP,BUSHWICK DELI BITE,1449,MYRTLE AVE,BROOKLYN,NY,11237,"{'type': 'Point', 'coordinates': [-73.91786, 40.69885]}",894,,,
RICHMOND,767345,Store,ABC,MANNIX FAMILY MARKET @ AMBOY ROAD LLC,SHOPRITE OF AMBOY ROAD,100,GRAVES LANE,STATEN ISLAND,NY,10308,"{'type': 'Point', 'coordinates': [-74.14375, 40.55435]}",585,53000,,
SUFFOLK,767333,Store,AC,QUOGUE 01 INC,7 ELEVEN STORE #15837G,397,MONTAUK HWY,EAST QUOGUE,NY,11942,"{'type': 'Point', 'coordinates': [-72.57407, 40.84914]}",1013,1000,,
