county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude
BRONX,768373,Store,A,2490 GROCERY HOUSEWARE CORP,2490 GROCERY HOUSEWARE,2490,WILLIAMSBRIDGE RD,BRONX,NY,10469,"{'type': 'Point', 'coordinates': [-73.85786, 40.86268]}",307,,,,-73.85786,40.86268
BRONX,767877,Store,AC,BANGLA HALAL FOOD MARKET INC,BANGLA HALAL FOOD MARKET,1002,CASTLE HILL AVE ##,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.85008, 40.8278]}",307,2200,,,-73.85008,40.8278
BRONX,767797,Store,AC,A&Z GOURMET DELI CORP,A&Z GOURMET DELI,772,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88739, 40.81603]}",307,,,,-73.88739,40.81603
BRONX,767608,Store,A,1892A DELI GROCERY CORP,1892A DELI GROCERY,1892,ARCHER STREET,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.86307, 40.83791]}",307,,,,-73.86307,40.83791
BRONX,767536,Store,A,MANDELA DELI MART CORP,MANDELA DELI MART,3660,WHITE PLAINS RD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86443, 40.88066]}",307,,,,-73.86443,40.88066
BRONX,767311,Store,A,TOP 5 DELI GROCERY CORP,TOP 5 DELI GROCERY,1074,NEILL AVE,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.85668, 40.85318]}",307,,,,-73.85668,40.85318
BRONX,766917,Store,AC,BEST HOOD DELI & GROCERY INC,BEST HOOD DELI & GROCERY,839,TRINITY AVE,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.90662, 40.82142]}",307,1100,,,-73.90662,40.82142
BRONX,766916,Store,AC,BRONX FRESH DELI CORP,BRONX FRESH DELI,1307,BOSTON ROAD ####,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.89995, 40.83135]}",307,800,,,-73.89995,40.83135
BRONX,766541,Store,AC,RAYALIS DELI GROCERY INC,RAYALIS DELI GROCERY,385,E 194TH STREET,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.88997, 40.86337]}",307,,,,-73.88997,40.86337
BRONX,766454,Store,AC,FANTASY 188 DELI GROCERY CORP,FANTASY 188 DELI GROCERY,3460,E 188TH STREET,BRONX,NY,10458,,,,,,,
BRONX,766381,Store,AC,188 VALENTINE CONVENIENCE CORP,188 VALENTINE CONVENIENCE,221,EAST 188TH STREET,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.89664, 40.86105]}",307,,,,-73.89664,40.86105
BRONX,766339,Store,AC,3022 E TREMONT DELI GROCERY CORP,3022 E TREMONT DELI GROCERY,3022,E TREMONT AVE,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.83712, 40.83989]}",307,750,,,-73.83712,40.83989
BRONX,766338,Store,AC,ELDERS GOURMET & CREPES CORP,ELDERS GOURMET & CREPES,1513,WESTCHESTER AVE,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.87949, 40.82856]}",307,,,,-73.87949,40.82856
BRONX,766218,Store,A,PELHAM CANDY STORE CORP,PELHAM CANDY STORE,3040,BUHRE AVE,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.831, 40.84749]}",307,700,,,-73.831,40.84749
BRONX,766176,Store,AC,1054 UNITED DELI & SALAD INC,1054 UNITED DELI & SALAD,1054,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89191, 40.82439]}",307,900,,,-73.89191,40.82439
BRONX,766169,Store,AC,EHAB DELI & GROCERY CORP,EHAB DELI & GROCERY,2865,WHITE PLAINS RD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86724, 40.86776]}",307,,,,-73.86724,40.86776
BRONX,766161,Store,AC,YADIEL GROCERY STORE CORP,YADIEL GROCERY STORE,670,BARRETTO STREET,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.8892, 40.8139]}",307,1000,,,-73.8892,40.8139
BRONX,766148,Store,AC,1524 S&A GOURMET DELI INC,1524 S&A GOURMET DELI,1524-1526,MAYFLOWER AVE ####,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.83469, 40.84151]}",307,800,,,-73.83469,40.84151
BRONX,766137,Store,AC,EURO MARKET DIASPORA 2 INC,EURO MARKET DIASPORA 2,1058,MORRIS PARK AVE,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.85429, 40.84899]}",307,1000,,,-73.85429,40.84899
BRONX,766108,Store,AC,BRONX CHOPPED CHEESE & GRILL CORP,BRONX CHOPPED CHEESE & GRILL,4800,WHITE PLAINS RD ####,BRONX,NY,10470,"{'type': 'Point', 'coordinates': [-73.84933, 40.90588]}",307,,,,-73.84933,40.90588
BRONX,766033,Store,AC,FRESH START BODEGA INC,FRESH START BODEGA,2777,WEBSTER AVE,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.88566, 40.86611]}",307,800,,,-73.88566,40.86611
BRONX,766017,Store,AC,1203 WEST INDIAN GROCERY INC,1203 WEST INDIAN GROCERY,1203,ROSEDALE AVE,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.86875, 40.82967]}",307,800,,,-73.86875,40.82967
BRONX,765976,Store,AC,NEW CASTILE DELI AND GROCERY CORP,NEW CASTILE DELI AND GROCERY,1105,CASTLE HILL AVE ####,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.85059, 40.83004]}",307,600,,,-73.85059,40.83004
BRONX,765882,Store,AC,DHAKA MART LLC,DHAKA FOOD EXPRESS & DELI,368,E 204TH ST,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.87726, 40.87158]}",307,2200,,,-73.87726,40.87158
BRONX,765825,Store,AC,EL NUEVO CORRAL MEAT MARKET & GROCERY,EL NUEVO CORRAL MEAT MARKET,75,E KINGSBRIDGE RD,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.89563, 40.86672]}",307,1900,,,-73.89563,40.86672
BRONX,765782,Store,A,82 GROCERY CANDY INC,82 GROCERY CANDY,82,W 165TH STREET,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.92726, 40.83399]}",307,1000,,,-73.92726,40.83399
BRONX,765762,Store,AC,CELINE T GROCERY INC,CELINE T GROCERY,3900,WHITE PLAINS ROAD,BRONX,NY,10466,"{'type': 'Point', 'coordinates': [-73.86153, 40.88592]}",307,800,,,-73.86153,40.88592
BRONX,765753,Store,AC,ILYAS GOURMET DELI CORP,ILYAS GOURMET DELI,3998,WHITE PLAINS RD,BRONX,NY,10466,"{'type': 'Point', 'coordinates': [-73.86015, 40.88842]}",307,,,,-73.86015,40.88842
BRONX,765715,Store,AC,AMG RETAIL I LLC,AMG #192,281,BRUCKNER BLVD ##,BRONX,NY,10454,"{'type': 'Point', 'coordinates': [-73.91113, 40.80545]}",307,950,,,-73.91113,40.80545
BRONX,765506,Store,AC,APEX PETROLEUM 91 INC,APEX PETROLEUM 91,91,WESTCHESTER SQUARE,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.84085, 40.84104]}",307,1000,,,-73.84085,40.84104
BRONX,765456,Store,A,SH&N AGA INC,SH&N AGA INC,3120,BAINBRIDGE AVENUE,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.87933, 40.87423]}",307,,,,-73.87933,40.87423
BRONX,765408,Store,AC,TOWN FOOD MARKET CORP,TOWN FOOD MARKET,4702,WHITE PLAINS ROAD,BRONX,NY,10470,"{'type': 'Point', 'coordinates': [-73.85006, 40.90377]}",307,,,,-73.85006,40.90377
BRONX,765394,Store,ACDK,KADOSH TRADING INC,KADOSH FOODS,490,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88135, 40.8102]}",307,5000,,,-73.88135,40.8102
BRONX,765292,Store,A,NATIONWIDE COOOP CITY BLVD INC,USA NATIONWIDE WAREHOUSE,691,COOP CITY BLVD,BRONX,NY,10475,"{'type': 'Point', 'coordinates': [-73.82493, 40.88049]}",307,,,,-73.82493,40.88049
BRONX,765177,Store,AC,HOT GRILL DELI & MART CORP,HOT GRILL DELI & MART,1745,RANDALL AVE,BRONX,NY,10473,"{'type': 'Point', 'coordinates': [-73.86547, 40.8168]}",307,1000,,,-73.86547,40.8168
BRONX,765131,Store,AC,SUAVE DELI GROCERY INC,SUAVE DELI GROCERY,794,COURTLANDT AVENUE ####,BRONX,NY,10451,"{'type': 'Point', 'coordinates': [-73.91666, 40.82268]}",307,1500,,,-73.91666,40.82268
BRONX,765129,Store,AC,BARNES AVENUE DELI GROCERY INC,BARNES AVENUE DELI GROCERY,3868,BARNES AVENUE ####,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.85886, 40.88461]}",307,900,,,-73.85886,40.88461
BRONX,765025,Store,AC,WEAM CORPORATION,WEAM,3822,E TREMONT AVE,BRONX,NY,10465,"{'type': 'Point', 'coordinates': [-73.82036, 40.82468]}",307,1200,,,-73.82036,40.82468
BRONX,765011,Store,AC,LUCKY ONE DELI CORP,LUCKY ONE DELI,1400,CROSBY AVE ####,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.82971, 40.84079]}",307,,,,-73.82971,40.84079
BRONX,765009,Store,AC,GREEN APPLE GOURMET & MORE 1 CORP,GREEN APPLE GOURMET & MORE 1,2197,WHITE PLAINS RD,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.86764, 40.85633]}",307,1000,,,-73.86764,40.85633
BRONX,765005,Store,AC,GOLD MINE GOURMET DELI CORP,GOLD MINE GOURMET DELI,3460,BOSTON RD,BRONX,NY,10469,"{'type': 'Point', 'coordinates': [-73.84805, 40.87649]}",307,1000,,,-73.84805,40.87649
BRONX,765004,Store,AC,R & N CARIBBEAN MEAL LLC,R & N CARIBBEAN MEAT,4206,WHITE PLAINS RD,BRONX,NY,10466,"{'type': 'Point', 'coordinates': [-73.85718, 40.89378]}",307,,,,-73.85718,40.89378
BRONX,764952,Store,AC,AINARA DELI GROCERY CORP,AINARA DELI GROCERY,15,MARCY PLACE,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.91814, 40.83881]}",307,,,,-73.91814,40.83881
BRONX,764933,Store,AC,BANGLA BAZAR SUPERMARKET INC,BANGLA BAZAR SUPERMARKET,1450,ST PETERS AVE ##,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.84571, 40.83929]}",307,2000,,,-73.84571,40.83929
BRONX,764881,Store,A,VALENTINE 181 MINI MART CORP #1,VALENTINE 181 MINI MART,2130,VALENTINE AVE,BRONX,NY,10457,"{'type': 'Point', 'coordinates': [-73.89937, 40.85396]}",307,2000,,,-73.89937,40.85396
BRONX,764879,Store,A,1 NEYMAR CANDY GROCERY CORP,1 NEYMAR CANDY GROCERY,1175,VYSE AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.88995, 40.82846]}",307,,FRONT 2,,-73.88995,40.82846
BRONX,764829,Store,AC,MOON LIGHT 1 DELI CORP,MOON LIGHT 1 DELI,751,E GUN HILL RD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86397, 40.8766]}",307,,,,-73.86397,40.8766
BRONX,764822,Store,AC,R ECHAVARRIA DELI & GROCERIES CORP,R ECHAVARRIA DELI & GROCERIES,1888,WALTON AVE,BRONX,NY,10453,"{'type': 'Point', 'coordinates': [-73.90934, 40.84941]}",307,1700,,,-73.90934,40.84941
BRONX,764813,Store,A,BARAKAH BAZAR LLC,BARAKAH BAZAR,731,BURKE AVE,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86555, 40.87141]}",307,,,,-73.86555,40.87141
BRONX,764806,Store,AC,SEA MART LLC,FORDHAM FRESH FISH,155,E 188TH ST,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.89839, 40.86166]}",307,500,,,-73.89839,40.86166
BRONX,764771,Store,AC,235 FRESH BITES DELI CORP,235 FRESH BITES DELI,560,W 235TH ST,BRONX,NY,10463,"{'type': 'Point', 'coordinates': [-73.91017, 40.8857]}",307,,,,-73.91017,40.8857
BRONX,764768,Store,AC,FRESH UP DELI AND GRILL CORP,FRESH UP DELI AND GRILL,3844,WHITE PLAINS RD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86209, 40.8849]}",307,,,,-73.86209,40.8849
BRONX,764706,Store,A,AMENAZEL HALAL MARKET INC,AMENAZEL HALAL MARKET,744,ALLERTON AVENUE,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86567, 40.86546]}",307,2100,,,-73.86567,40.86546
BRONX,764698,Store,AC,MI BODEGA DELI FOOD CORP,MI BODEGA DELI FOOD,663,ALLERTON AVE,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86877, 40.86542]}",307,1100,,,-73.86877,40.86542
BRONX,764672,Store,A,NOOR DISCOUNT CONVENIENCE CORP,NOOR DISCOUNT CONVENIENCE,276,SAINT ANNS AVE,BRONX,NY,10454,"{'type': 'Point', 'coordinates': [-73.91695, 40.80761]}",307,,,,-73.91695,40.80761
BRONX,764665,Store,AC,BOSTON RD GROCERY DELI & MORE CORP,BOSTON RD GROCERY DELI & MORE,1682,BOSTON ROAD,BRONX,NY,10460,"{'type': 'Point', 'coordinates': [-73.88901, 40.83665]}",307,1100,,,-73.88901,40.83665
BRONX,764646,Store,AC,ORGANIC DELI 2 INC,ORGANIC DELI 2,550,TRINITY AVE,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.90988, 40.81379]}",307,1200,,,-73.90988,40.81379
BRONX,764586,Store,AC,KABORE LLC,EASY STOP SHOP,1134,CASTLE AVENUE,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.85074, 40.8307]}",307,400,,,-73.85074,40.8307
BRONX,764554,Store,AC,33 MART DELI CORP,MART 33 CONVENIENCE STORE,259,E 167TH ST  ####,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.91461, 40.83347]}",307,1400,,,-73.91461,40.83347
BRONX,764544,Store,A,CASA FRESH INC,CASA FRESH,720,E TREMONT AVE STORE B,BRONX,NY,10457,"{'type': 'Point', 'coordinates': [-73.89037, 40.84503]}",307,1300,,,-73.89037,40.84503
BRONX,764530,Store,AC,844 MINI MARKET FISH AND FRIES INC,844 MINI MARKET FISH,844,HUNTS POINT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88851, 40.81757]}",307,,,,-73.88851,40.81757
BRONX,764527,Store,AC,A & A MARKET DELI & GROCERY CORP,A & A MARKET DELI & GROCERY,1513,WATSON AVE ##,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.87893, 40.82598]}",307,1000,,,-73.87893,40.82598
BRONX,764455,Store,AC,D LORA CORP,D LORA,814,HEWITT PLACE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89988, 40.81882]}",307,,,,-73.89988,40.81882
BRONX,764447,Store,AC,ORLANDO 7 CORP,ORLANDO 7,1190,CROMWELL AVENUE,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.92242, 40.83585]}",307,900,,,-73.92242,40.83585
BRONX,764429,Store,A,ROSEDALE 99 CENTS INC,ROSEDALE 99 CENTS,1741,LAFAYETTE AVE,BRONX,NY,10473,"{'type': 'Point', 'coordinates': [-73.86636, 40.82092]}",307,,,,-73.86636,40.82092
BRONX,764420,Store,AC,MILA DELI & GROCERY CORP,MILA DELI & GROCERY,684,E 189 ST ####,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.88369, 40.85623]}",307,,,,-73.88369,40.85623
BRONX,764345,Store,AC,TENTEN FOOD CORP,S&Y FISH & MEAT CARIBBEAN SUPERMARKET,4008,BOSTON RD,BRONX,NY,10475,"{'type': 'Point', 'coordinates': [-73.83287, 40.88388]}",307,15000,,,-73.83287,40.88388
BRONX,764331,Store,A,CONVENIENCE ON CONCOURSE INC,CONVENIENCE ON CONCOURSE,1398,GRAND CONCOURSE,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.91374, 40.83848]}",307,900,,,-73.91374,40.83848
BRONX,764322,Store,AC,FERNANDEZ MARGARITA,MARGARITAS GROCERY STORE,926,INTERVALE AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89661, 40.81984]}",307,1000,,,-73.89661,40.81984
BRONX,764315,Store,AC,PANADERIA MEXICANA GUADALUPANA CORP,PANADERIA MEXICANA GUADALUPANA,735,LYDIG AVE,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.86642, 40.85447]}",307,1000,,,-73.86642,40.85447
BRONX,764313,Store,AC,MIM DELI & GROCERY INC,SUNDARBAN HALAL MEAT &,1404,UNIONPORT ROAD ####,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.85427, 40.83466]}",307,1600,,,-73.85427,40.83466
BRONX,764306,Store,AC,GOLLO GROCERY STORE & DELI CORP,GOLLO GROCERY STORE & DELI,212,W KINGSBRIDGE RD ##,BRONX,NY,10463,"{'type': 'Point', 'coordinates': [-73.90446, 40.87182]}",307,750,,,-73.90446,40.87182
BRONX,764246,Store,AC,FAMILY GRILL 1 CORP,FAMILY GRILL 1,1712,UNIVERSITY AVE,BRONX,NY,10453,"{'type': 'Point', 'coordinates': [-73.91804, 40.84851]}",307,1300,,,-73.91804,40.84851
BRONX,764232,Store,AC,TASTY BITES DELI INC,TASTY BITES DELI,1560,GRAND CONCOURSE,BRONX,NY,10457,"{'type': 'Point', 'coordinates': [-73.91207, 40.84228]}",307,1900,,,-73.91207,40.84228
BRONX,764211,Store,AC,EL SABOR CHAPIN CORP,EL SABOR CHAPIN,1484,WESTCHESTER AVE,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.88077, 40.82846]}",307,1000,,,-73.88077,40.82846
BRONX,764182,Store,AC,JUAN DIAZ MARTINEZ & MARGARITO CITLAME P,DELI TAQUERIA XOCHITLALLI 2,680,ALLERON AVENUE,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86804, 40.86544]}",307,,,,-73.86804,40.86544
BRONX,764179,Store,AC,R&R CORTES DE PESCADO CORP,R&R CORTES DE PESCADO,301,MORRIS AVE ##,BRONX,NY,10451,"{'type': 'Point', 'coordinates': [-73.92615, 40.81247]}",307,100,,,-73.92615,40.81247
BRONX,764154,Store,AC,ELY MOUNA INC,ELY MOUNA,3925,WHITE PLAINS RD,BRONX,NY,10466,"{'type': 'Point', 'coordinates': [-73.86121, 40.88649]}",307,,,,-73.86121,40.88649
BRONX,764147,Store,AC,BINC FOOD CORP,BINC & BEYOND UNIVERSAL MARKET,1346,E GUNHILL RD,BRONX,NY,10469,"{'type': 'Point', 'coordinates': [-73.84664, 40.87069]}",307,800,,,-73.84664,40.87069
BRONX,764141,Store,AC,Q GOURMET DELI CORP,Q GOURMET DELI,1798,WESTCHESTER AVE ####,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.8666, 40.83185]}",307,1300,,,-73.8666,40.83185
BRONX,764136,Store,AC,PRINCE GROCERY STORE CORP,PRINCE GROCERY STORE,237,EAST 203RD ST ####,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.88526, 40.87364]}",307,1000,,,-73.88526,40.87364
BRONX,764126,Store,AC,PRINCE DELI & GROCERY CORP 1,PRINCE DELI & GROCERY 1,211,ST ANNS AVE,BRONX,NY,10454,"{'type': 'Point', 'coordinates': [-73.91787, 40.80625]}",307,1000,,,-73.91787,40.80625
BRONX,764095,Store,AC,2 EAST BURNSIDE KING DELI INC,2 EAST BURNSIDE KING DELI,2,EAST BURNSIDE AVE,BRONX,NY,10453,"{'type': 'Point', 'coordinates': [-73.90743, 40.85356]}",307,1400,,,-73.90743,40.85356
BRONX,764062,Store,AC,HEALTHY 1 DELI CORP,HEALTHY 1 DELI,4521,3RD AVE,BRONX,NY,10457,"{'type': 'Point', 'coordinates': [-73.89105, 40.85396]}",307,1500,,,-73.89105,40.85396
BRONX,764061,Store,AC,QUIK STOP DELI CORP,QUIK STOP DELI,3401,OLINVILLE AVE,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86813, 40.8754]}",307,600,,,-73.86813,40.8754
BRONX,763989,Store,AC,MACE DELI & GRILL INC,MACE DELI & GRILL,2500,WHITE PLAINS RD ##,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.86743, 40.86341]}",307,1400,,,-73.86743,40.86341
BRONX,763988,Store,AC,ASHA GROCERY & HALAL MEAT INC,ASHA GROCERY & HALAL MEAT,3110,BAINBRIDGE AVE ####,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.87928, 40.87394]}",307,,,,-73.87928,40.87394
BRONX,763987,Store,AC,CITY STAR MINI MARKET CORP I,CITY STAR MINI MARKET,1203,WHITE PLAINS RD  ####,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.8617, 40.83066]}",307,1200,,,-73.8617,40.83066
BRONX,763975,Store,AC,MOMS ANGEL KISSES CORP,SUGAR GIRL BAKERY,3071,BAILEY AVE,BRONX,NY,10463,"{'type': 'Point', 'coordinates': [-73.90261, 40.87779]}",307,1500,,,-73.90261,40.87779
BRONX,763967,Store,A,1811 DISCOUNT INC,1811 DISCOUNT,1811,WHITE PLAINS RD,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.86625, 40.8456]}",307,,,,-73.86625,40.8456
BRONX,763964,Store,A,TAYLOR MINI MARKET CORP,TAYLOR MINI MARKET,1703,TAYLOR AVE,BRONX,NY,10460,"{'type': 'Point', 'coordinates': [-73.86882, 40.84217]}",307,,,,-73.86882,40.84217
BRONX,763945,Store,AC,ORGANIC DELI & CONVENIENCE CORP,ORGANIC DELI & CONVENIENCE,3124,TREMONT AVE ####,BRONX,NY,10461,"{'type': 'Point', 'coordinates': [-73.83514, 40.83822]}",307,1200,,,-73.83514,40.83822
BRONX,763926,Store,AC,LUS LICENSING LLC,LIDL #1574,700,EXTERIOR STREET,BRONX,NY,10451,"{'type': 'Point', 'coordinates': [-73.93048, 40.81998]}",307,10000,,,-73.93048,40.81998
BRONX,763916,Store,AC,NEW BEST FISH MARKET INC,NEW BEST FISH MARKET,422A,WESTCHESTER AVE,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.91622, 40.81649]}",307,1200,,,-73.91622,40.81649
BRONX,763865,Store,A,ALDI INC,ALDI #153,4720,THIRD AVE,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.89111, 40.85941]}",307,,,,-73.89111,40.85941
BRONX,763790,Store,AC,OS DELI & GROCERY CORP,OS DELI & GROCERY,99,E 198TH STREET,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.89175, 40.87061]}",307,1000,,,-73.89175,40.87061
BRONX,763787,Store,AC,CRESTON CONVENIENCE & MORE CORP,CRESTON CONVENIENCE & MORE,2449,CRESTON AVE,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.89878, 40.86156]}",307,,,,-73.89878,40.86156
BRONX,763770,Store,AC,IZZY GOURMET DELI CORP,IZZY GOURMET DELI,2481,"CROTONA AVE, STORE #4",BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.88255, 40.85635]}",307,,,,-73.88255,40.85635
BRONX,763757,Store,A,PRICELESS DISCOUNT CORP,PRICELESS DISCOUNT,125,W KINGSBRIDGE RD ####,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.90283, 40.86894]}",307,1800,,,-73.90283,40.86894
BRONX,763723,Store,AC,BAINBRIDGE FISH MARKET CORP,BAINBRIDGE FISH MARKET,3163,BAINBRIDGE AVE ##,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.87948, 40.87514]}",307,1200,,,-73.87948,40.87514
BRONX,763718,Store,AC,STAY COOL GOURMET DELI CORP,STAY COOL GORUMET DELI,69,BRUCKNER BLVD,BRONX,NY,10454,"{'type': 'Point', 'coordinates': [-73.92632, 40.80633]}",307,1500,,,-73.92632,40.80633
BRONX,763696,Store,AC,CHANA DELI GROCERY CORP,CHANA DELI GROCERY,2386,WEBSTER AVE,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.89401, 40.85866]}",307,,,,-73.89401,40.85866
BRONX,763685,Store,AC,JUNIOR MARKET CORP,BENS MARKET,19,"KNOLLS CRESCENT, STORE B",BRONX,NY,10463,"{'type': 'Point', 'coordinates': [-73.91761, 40.87869]}",307,,,,-73.91761,40.87869
BRONX,763682,Store,AC,EATHUB DELI INCC,EATHUB DELI,1838,WESTCHESTER AVE,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.86478, 40.83236]}",307,1200,,,-73.86478,40.83236
BRONX,763663,Store,AC,NEW FORDHAM MEAT MARKET CORP,NEW FORDHAM MEAT MARKET,91,W FORDHAM RD #8,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.90441, 40.86275]}",307,1100,,,-73.90441,40.86275
BRONX,763636,Store,A,99C B AND K BLESSING CORP,B AND K BLESSING,512,EAST 149 STREET,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.91451, 40.81478]}",307,1000,,,-73.91451,40.81478
BRONX,763630,Store,AC,1 FORDHAM CONVENIENCE CORP,1 FORDHAM CONVENIENCE,605,B EAST 187TH STREET,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.88735, 40.85544]}",307,650,,,-73.88735,40.85544
BRONX,763602,Store,AC,VARIEDADES DE MI CULTURA EBENEZER CORP,VARIEDADES DE MI CULTURA EBENEZER,1087-1093,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89194, 40.82577]}",307,,,,-73.89194,40.82577
BRONX,763585,Store,AC,PRIME GROCERY AND VEGETABLE CORP,PRIME GROCERY AND VEGETABLE,145,E GUN HILL ROAD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.8791, 40.88138]}",307,,,,-73.8791,40.88138
BRONX,763573,Store,AC,BRIELLA DELI & GROCERY CORP,BRIELLA DELI & GROCERY,1420,GRAND CONCOURSE ####,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.91314, 40.83944]}",307,1600,,,-73.91314,40.83944
BRONX,763552,Store,A,MEGA STAR DISCOUNT CORP,MEGA STAR DISCOUNT,1509,WESTCHESTER AVE ####,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.87973, 40.82854]}",307,,,,-73.87973,40.82854
BRONX,763544,Store,AC,J&J DELI GROCERY STORE CORP,J&J DELI GROCERY STORE,699,BECK STREET ##,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.9003, 40.81503]}",307,1000,,,-73.9003,40.81503
BRONX,763525,Store,A,ZEEDAN FOODS INC,ZEEDAN FOODS,1455,UNIONPORT RD ##,BRONX,NY,10462,"{'type': 'Point', 'coordinates': [-73.85544, 40.83558]}",307,,,,-73.85544,40.83558
BRONX,763448,Store,AC,HALAL GYRO KING 3 INC,HALAL GYRO KING 3,319,E 204 STREET,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.87817, 40.87256]}",307,,,,-73.87817,40.87256
BRONX,763440,Store,AC,LEGEND DELI GROCERY CORP,LEGEND DELI GROCERY,282,E GUN HILL RD,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.87468, 40.87924]}",307,1100,,,-73.87468,40.87924
BRONX,763410,Store,AC,UNION MEATS MARKET INC,UNION MEATS MARKET,810,E 180TH STREET,BRONX,NY,10460,"{'type': 'Point', 'coordinates': [-73.88506, 40.84628]}",307,,,,-73.88506,40.84628
