bbl,standard_address,city_id,city_name,boro_id,boro_name,cd_id,cd_name,sba_id,sba_name,ccd_id,ccd_name,tract_10,res_units,year_built,buildings,assessed_value,owner_name,ser_violation,tax_delinquency,net_inc_sqft,gross_exp_sqft,fld_2020,fld_2050,fld_firm,he_zones,latitude,longitude,inc_tar_units_0bed,inc_tar_units_1bed,inc_tar_units_2bed,inc_tar_units_3bed,inc_tar_units_4bed,inc_tar_info,data_dof,data_hcrlihtc,data_hpd,data_hpdlihtc,data_hudcon,data_hudfin,data_hudlihtc,data_ml,data_nycha,sub_fin,sub_prog,sub_tax,sub_zone,prog_202_8,start_202_8,end_202_8,prog_221d,start_221d,end_221d,prog_223,start_223,end_223,prog_420c,start_420c,end_420c,prog_421a,start_421a,end_421a,prog_421a_aff,start_421a_aff,end_421a_aff,prog_8a,start_8a,end_8a,prog_hpd_oth,start_hpd_oth,end_hpd_oth,prog_hud_fin_oth,start_hud_fin_oth,end_hud_fin_oth,prog_hud_proj_oth,start_hud_proj_oth,end_hud_proj_oth,prog_inclus_hous,start_inclus_hous,end_inclus_hous,prog_j51,start_j51,end_j51,prog_lamp,start_lamp,end_lamp,prog_lihtc4,start_lihtc4,end_lihtc4,prog_lihtc9,start_lihtc9,end_lihtc9,prog_lmsa,start_lmsa,end_lmsa,prog_mfp,start_mfp,end_mfp,prog_ml,start_ml,end_ml,prog_nep,start_nep,end_nep,prog_nrp,start_nrp,end_nrp,prog_nycha_mix,start_nycha_mix,end_nycha_mix,prog_nycha_ph,start_nycha_ph,end_nycha_ph,prog_plp,start_plp,end_plp,prog_prac_202,start_prac_202,end_prac_202,prog_proj8,start_proj8,end_proj8,prog_rad,start_rad,end_rad,prog_tpt,start_tpt,end_tpt,prog_year15,start_year15,end_year15
1000160015,50 Battery Place,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061031704,208,1998,1,21849750,"DEMATTEIS BATTERY PARK ASSOCIATES,     .",0,0,,,Yes,Yes,Yes,Zone 1,40.7066674,-74.0181639,,,,,,Information unavailable,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20000101,20301231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1000160020,70 Battery Place,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061031704,209,1998,1,21934800,NY URBAN LLC,0,0,,,Yes,Yes,No,Zone 1,40.7072988,-74.0177024,,,,,,Information unavailable,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19990101,20291231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1000160210,399 Chambers Street,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061031703,340,1998,1,48776850,TRIBECA POINTE LLC,0,0,,,Yes,Yes,Yes,Zone 1,40.7182618,-74.0146715,,,,,,Information unavailable,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19980101,20281231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1000167522,400 Chambers Street,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061031703,396,1998,2,64726649,BPC ASSOCIATES L.P.,0,0,,,No,Yes,No,Zone 1,40.7177183,-74.0150285,,,,,,Information unavailable,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19990101,20291231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1000787510,110 Fulton Street,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061001502,29,1929,1,3673800,110 FULTON ST CONDOMINIUM,0,0,,,No,No,No,Zone 6,40.7096879,-74.0071238,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,0,1,1,0,,,0,,,0,,,1,20070101,20560101,0,,,0,,,0,,,0,,,0,,,0,,,1,20070328,,0,,,0,,,1,20080101,20381231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1000900017,113 Nassau Street,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061001501,168,2012,1,20869200,ANN/NASSAU REALTY LLC,0,0,,,No,No,No,Zone 6,40.7108763,-74.0073692,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,0,,,1,20160101,20360101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1001427501,270 Greenwich Street,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061002100,381,2006,1,160248592,270 GREENWICH STREET ASSOCIATES,0,0,,,Yes,Yes,Yes,Zone 1,40.7156271,-74.0121169,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,0,,,1,20110101,20310101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20100101,20401231,0,,,0,,,1,20080508,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1001700020,111 Worth Street,1,New York City,1,Manhattan,101,MN 01 - Financial District,3810,Greenwich Village/Financial District,1,City Council District 1,36061003100,331,2001,1,43315200,KRE FOLEY SQUARE OWNER I LLC,0,0,,,No,No,No,Zone 5,40.7160559,-74.0034919,,,,,,Information unavailable,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20030101,20331231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1002480070,80 Rutgers Slip,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061000600,109,1987,1,9813600,TWO  BRIDGES SENIOR APARTMENTS LP,0,0,33,24.9,Yes,Yes,Yes,Zone 1,40.710802,-73.9901925,,,,,,Information unavailable,1,0,1,0,1,0,1,0,0,1,1,1,0,1,20221101,20421031,0,,,0,,,1,20090101,20280101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20071207,,1,20060101,20361231,0,,,0,,,1,20240328,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1002550001,45 Pike Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061000600,721,1963,5,44637750,NYC HOUSING AUTHORITY,0,0,,,Yes,Yes,No,Zone 2,40.7118643,-73.9910905,,,,,,Information unavailable,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20110101,20411231,0,,,0,,,0,,,0,,,0,,,0,,,1,1965-03-31,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1002857501,179 Henry Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061000600,50,1967,1,7386975,UNAVAILABLE OWNER,0,0,,,No,No,No,Zone 5,40.713736,-73.9882694,,,,,,Information unavailable,1,0,0,0,1,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,20140101,20580101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20130101,20431231,0,,,1,20141201,20341130,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003360005,15 Bialystoker Place,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061001200,128,1982,1,10622700,"UJC ORENSTEIN PRESERVATION HDFC, INC.",0,0,30.4,23.9,No,No,No,Zone 5,40.7158187,-73.9833018,,,,,,Information unavailable,0,0,0,0,1,1,1,0,0,1,0,0,0,1,20121220,20321219,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20130402,20471201,0,,,0,,,0,,,0,,,1,20120101,20421231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003450058,133 Pitt Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002201,263,2010,1,11514600,PITT STREET L.P.,1,0,34.5,24.4,No,No,No,Zone 4,40.7204516,-73.9817602,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20090101,20530101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20100101,20401231,0,,,0,,,1,20101215,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003467501,145 Clinton Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061001402,211,2015,1,50455801,UNAVAILABLE OWNER,0,0,,,No,No,No,Zone 6,40.7165822,-73.9867574,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,0,,,1,20180101,20530101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20170101,20471231,0,,,0,,,1,20180731,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003477501,175 Delancey Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061001402,100,2016,1,23373901,UNAVAILABLE OWNER,1,0,,,No,No,No,Zone 5,40.7170541,-73.9857545,0,99,0,0,0,Breakdown available,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20160101,20470101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20170101,20471231,0,,,1,20171025,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003500036,156 Stanton Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061003001,8,1920,1,2163150,"EL CARIBE HOUSING DEVELOPMENT FUND COMPA NY, INC.",0,0,,,No,No,No,Zone 5,40.7205701,-73.985043,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20170101,20610101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19980101,20281231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20160302,
1003450014,325 East Houston Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002201,17,1920,1,342900,"EL CARIBE HOUSING DEVELOPMENT FUND COMPA NY, INC.",0,0,,,No,No,No,Zone 4,40.7208278,-73.9827702,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20160101,20460101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19980101,20281231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20160302,
1003480013,147 Rivington Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061001402,7,1910,1,1132650,"EL CARIBE HOUSING DEVELOPMENT FUND COMPA NY, INC.",0,0,,,No,No,No,Zone 6,40.7191759,-73.9858695,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20170101,20610101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19980101,20281231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20160302,
1003527501,125 Delancey Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061001800,195,2016,1,64524036,UNAVAILABLE OWNER,0,0,,,No,No,No,Zone 6,40.717919,-73.9880486,40,17,42,5,0,Breakdown available,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,0,,,1,20190101,20540101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20180101,20481231,0,,,0,,,1,20181227,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003530052,108 Norfolk Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061001402,24,1997,1,1956150,NORFOLK APARTMENTS LIMITED PARTNERSHIP,0,0,,,No,No,No,Zone 6,40.7189372,-73.9868039,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,19990101,20430101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19990101,20291231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003540026,141 Norfolk Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061003001,20,2003,1,1727100,NORFOLK APARTMENTS II HOUSING DVLPMNT FU ND CO INC,0,0,,,No,No,No,Zone 6,40.7202437,-73.9867062,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,20040101,20480101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20030101,20331231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003530032,111 Norfolk Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061001800,21,2003,1,2160900,NORFOLK APARTMENTS II LTD PARTNERSHIP,0,0,,,No,No,No,Zone 6,40.7191513,-73.9872692,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,20040101,20480101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20030101,20331231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003550077,138 Stanton Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061003001,11,2003,1,853650,NORFOLK APARTMENTS II LIMITED PARTNERSHI P,0,0,18.7,10.5,No,No,No,Zone 6,40.7208035,-73.9859016,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,20040101,20480101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20030101,20331231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003730051,299 East 3 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002601,38,2003,1,4259250,EAST THIRD STREET HOUSING DEVELOPMENT FU ND CO. INC,1,0,30,14.9,No,Yes,No,Zone 2,40.7213267,-73.9792166,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,20040101,20480101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20050101,20351231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003850019,228 East 3 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002202,22,2003,1,3153600,EAST THIRD STREET HOUSING DEVELOPMENT FU ND CO. INC,1,0,,,No,No,No,Zone 4,40.7220409,-73.9820844,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,20040101,20480101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20050101,20351231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003740025,734 East 5 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002601,48,2004,2,1128150,ISLA NENA HOUSING DEVELOPMENT FUND,0,0,7.3,8.9,Yes,Yes,No,Zone 2,40.7219963,-73.9782098,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20050101,20490101,0,,,0,,,0,,,1,20050615,,0,,,0,,,0,,,0,,,0,,,0,,,1,20050101,20351231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003777503,101 Avenue D,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002602,78,2010,1,14477391,UNAVAILABLE OWNER,1,0,,,Yes,Yes,No,Zone 1,40.7235056,-73.9765787,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,1,0,,,0,,,0,,,0,,,1,20140101,20340101,0,,,0,,,0,,,0,,,0,,,1,20120802,,0,,,0,,,1,20120101,20421231,0,,,0,,,1,20120802,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003820001,188 Avenue C,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002800,371,1966,6,14827050,"HAVEN PLAZA HOUSING DEVELOPMENT FUND COM PANY, INC.",1,0,,,Yes,Yes,Yes,Zone 1,40.7269611,-73.975845,,,,,,Information unavailable,0,0,1,0,1,0,1,0,0,1,1,0,0,0,,,0,,,0,,,0,,,0,,,0,,,1,20090629,,0,,,0,,,0,,,0,,,0,,,0,,,1,20120101,20421231,0,,,1,20110301,20310228,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003820022,733 East 12th Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002800,,1953,3,3062250,ST EMERIC DEVELOPMENT II HOUSING DEVELOP MENT,0,0,,,Yes,Yes,No,Zone 1,40.7267825,-73.9748818,,,,,,Information unavailable,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20120101,20421231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003860011,250 East 4 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002601,34,1900,3,1236150,250-254 EAST 4TH STLP,1,0,,,No,No,No,Zone 3,40.7228835,-73.9821636,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,0,1,1,0,,,0,,,0,,,1,20170101,20610101,0,,,0,,,0,,,0,,,0,,,0,,,1,20120316,,0,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003850049,242 East 2 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002202,24,2005,1,1365750,DIVERSITY HOUSES HSG DEVEL FDG CO,1,0,,,No,No,No,Zone 4,40.7215413,-73.9817094,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,20050101,20490101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20060101,20361231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003860055,231 East 3 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002601,10,2005,1,785700,DIVERSITY HOUSES HSG DEVEL FDG CO,0,0,,,No,No,No,Zone 3,40.7223647,-73.9816803,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,20050101,20490101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20060101,20361231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003860056,229 East 3 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002601,12,2005,1,1011150,"DIVERSITY HOUSES HOUSING DEVEL. FUNDING  CO., INC.",0,0,15.4,23.3,No,No,No,Zone 3,40.7224086,-73.9817813,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20050101,20490101,0,,,0,,,0,,,1,20061214,,0,,,0,,,0,,,0,,,0,,,0,,,1,20060101,20361231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003870124,630 East 6 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002601,40,1900,1,1059750,PENCER HOUSE HOUSING DEVELOPMENT FUND CO RPORATION,1,0,27.1,27.1,Yes,Yes,No,Zone 2,40.7237478,-73.9804569,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20010101,20840101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20010101,20311231,0,,,1,20230912,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003870140,77 Avenue C,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002601,16,1900,1,621000,"ASIAN -AMERICAN HOUSING DEVELOMENT FUND  COMPANY,",0,0,,,Yes,Yes,No,Zone 2,40.7232619,-73.979804,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20100101,20540101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,0,,,1,20080630,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003907502,338 East 8 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002602,70,2001,2,10226250,GETHSEMANE GARDEN,0,0,,,Yes,Yes,Yes,Zone 1,40.724593,-73.9789702,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,0,,,1,20240101,20390101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20020101,20321231,0,,,0,,,1,20240702,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1004400034,203 Avenue A,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061003400,8,1910,1,2534400,NEW YORK EQUITY FUND 2004 LLC,0,0,,,No,No,No,Zone 4,40.7295531,-73.98135,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20090101,20530101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20100101,20411231,0,,,0,,,0,,,0,,,1,20060630,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003870041,291 East 4 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061002601,14,1900,1,799650,NEW YORK EQUITY FUND 2004 LLC,0,0,,,Yes,Yes,No,Zone 2,40.7226582,-73.9804825,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20090101,20530101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20100101,20411231,0,,,0,,,0,,,0,,,1,20060630,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1003970026,189 East 2 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061003002,8,1900,1,3280050,PERMANENCE HOUSES HOUSING DEVELOPMENT FU ND CO. INC,0,0,,,No,No,No,Zone 5,40.7221263,-73.9843067,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20090101,20530101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20100101,20411231,0,,,0,,,0,,,0,,,1,20060630,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1004010046,535 East 5 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061003200,30,2000,1,3041550,"UNITED MUTUAL HOUSES, L.P.",1,0,,,No,Yes,No,Zone 3,40.7243328,-73.9825817,,,,,,Information unavailable,1,0,0,0,0,0,1,0,0,1,0,1,0,0,,,0,,,0,,,1,20010101,20450101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,19990101,20291231,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1004050045,535 East 11 Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,2,City Council District 2,36061003400,40,2013,1,3023100,ELEVEN AND B HDFC,1,0,36.2,23.6,Yes,Yes,No,Zone 2,40.7279912,-73.9801201,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20140101,20580101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,20140101,20441231,0,,,1,20141217,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1004150012,176 Eldridge Street,1,New York City,1,Manhattan,103,MN 03 - Lower East Side/Chinatown,3809,Lower East Side/Chinatown,1,City Council District 1,36061001800,56,1920,2,1296450,"EAST CHINATOWN HDF, INC.",1,0,,,No,No,No,None,40.7203346,-73.9905843,,,,,,Information unavailable,1,0,1,0,0,0,1,0,0,1,1,1,0,0,,,0,,,0,,,1,20110101,20550101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,1,,,0,,,0,,,1,20100630,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
